text,label
"St. Anselm College	Manchester	Dante Scala , a political scientist at St. Anselm College in Manchester , New Hampshire , said , `` I see Richardson and Dodd making some space for themselves in the race and I think the ads have been a part of that . ''",city_of_headquarters
"Badr Brigades	Muslim	Baathists , Sunni and Shia alike , Muslim and Christian alike , have been hunt , tortured and killed by the US Occupation , its puppet government of sectarian warlords taking orders from their Iranian masters , the sectarian pro-Iranian militias , especially the Badr Brigades and the Mahdi Army , and yes , with the help of Iran as well .",political/religious_affiliation
"Disney	Shanghai Disneyland	The first phase of construction for Shanghai Disneyland will cover only 116 hectares -LRB- 1.2 square kilometres -RRB- , making it smaller than the 126-hectare Hong Kong park and one of the smallest of Disney 's franchises .",subsidiaries
"Bryan Baldwin	spokesman	`` The story is about David , and he 's not commenting at this point , '' said spokesman Bryan Baldwin .",title
"Huber	57	Huber , 57 , is to officially take up his post in November following confirmation by a vote of union delegates , succeeding Jurgen Peters with whom he jointly ran the union since 2003 .",age
"Spears	Britney Spears	It does not help either that Spears is the younger sister of tabloid wild child Britney Spears , the pop singer who has been locked in a bitter court battle for months with ex-husband Kevin Federline over custody of her two young children .",siblings
"Gonzales	Texas	While breaking no new ground in his defense of Gonzales -- who served as his first White House counsel and , before that , as a Texas supreme court justice and a Bush legal adviser in Texas -- the president 's response offered a new sign of support .",stateorprovinces_of_residence
"AAA	Wright Express and Oil Price Information Service	At the pump , retail gas prices gave up two-tenths of a penny to $ 2.62 a gallon , according to auto club AAA , Wright Express and Oil Price Information Service .",members
"Daily News	Zimbabwe	Fiercely critical of longtime leader President Robert Mugabe and his government , the Daily News was Zimbabwe 's best-selling daily until it was shut down in September 2003 for breaching tough media laws by operating without a license from the state Media and Information Commission .",country_of_headquarters
"Asian Development Bank	ADB	The Asian Development Bank -LRB- ADB -RRB- opened on Monday in Manila a regional knowledge center focused on public finance , said an ADB official .",alternate_names
IPSCO	Canada	Last month it announced that it would buy Canada 's IPSCO for US$ 4 billion -LRB- euro2 .55 billion -RRB- .,country_of_headquarters
"Federal Motor Carrier Safety Administration	he	Transportation Secretary Ray LaHood said in a statement that he has directed the Federal Motor Carrier Safety Administration -LRB- FMCSA -RRB- to `` use its existing authority to prohibit commercial truck and bus drivers from texting while driving , using any handheld cellphone or other device that takes a driver 's attention off the road . ''",top_members/employees
"National Beef Packing Co.	U.S.	In February , the company dropped its $ 560 million stock-and-cash bid to buy out National Beef Packing Co. , the fourth-largest U.S. beef processor .",country_of_headquarters
Scheider	Taylor	Taylor said Scheider had been receiving treatments at the hospital 's Myeloma Institute for Research and Therapy in recent years .,other_family
"Al Hubbard	businessman	Bush has had four National Economic Council directors ; Hennessey replaced Al Hubbard , an Indianapolis businessman who has known Bush since their days at Harvard Business School together .",title
"Thomas Meskill	America	Former governors Robert McNair -LRB- South Carolina -RRB- and William O'Neill and Thomas Meskill -LRB- Connecticut -RRB- were remembered by their constituents , as were Jane Bolin , America 's first black female judge , and diplomats Joseph Farland , Richard Nolte , and Philip Kaiser .",countries_of_residence
"Don Wildmon	American Family Association	The `` Forgotten Americans Coalition '' is composed of a number of veteran conservative leaders , including the American Family Association 's Dr. Don Wildmon , Christian Broadcasting Network 's Robertson , the Free Congress Foundation 's Paul Weyrich , and Tim LaHaye , the co-author of the wildly popular `` Left Behind '' series of apocalyptic novels , and his wife , Beverly , the founder of Concerned Women for America .",employee_of
"IMF	Dominique Strauss-Kahn	In Luxembourg , IMF chief Dominique Strauss-Kahn said he `` sees no reason to be concerned '' about the current situation .",top_members/employees
"American Psychological Association	144	Matthews , a professor of psychiatry and epidemiology at the University of Pittsburgh , presented his research at the 118th Annual Convention of the American Psychological Association being held in San Diego , about 90 miles -LRB- 144 kilometers -RRB- south of Los Angeles .",number_of_employees/members
"Lindsay M Hayes	specialist	Lindsay M Hayes , a national specialist in prison suicide prevention who wrote the report , said suicidal inmates are being punished instead of being helped .",title
"opposition party	Angola	The tranquillity that prevailed as millions of Angolans went to the polls last week and the acceptance of the outcome by the opposition party , the National Union for the Total Independence of Angola , or UNITA , set this election apart from Angola 's calamitous last vote , in 1992 .",country_of_headquarters
"Ali Akbar Salehi	Atomic Energy Organization of Iran	Vice President Ali Akbar Salehi , who is also the head of Atomic Energy Organization of Iran , said world powers would discredit themselves if they passed new sanctions .",employee_of
"Hashim Ahmad al-Tai	minister	Two others sentenced to death for the Kurdish killings -- Sultan Hashim Ahmad al-Tai , the former defense minister who led the Iraqi delegation at the cease-fire talks that ended the 1991 Gulf War , and Hussein Rashid Mohammed , a former deputy director of operations for the Iraqi armed forces -- also will face trial in the latest case , he said .",title
"IMF	David Burton	`` This forecast also assumes an effective policy tightening in China and some slowdown from that , '' David Burton , director of the IMF Asia and Pacific department , said at a news briefing here .",top_members/employees
"Waldheim	foreign minister	Speaking at the ceremony at St Stephan 's Cathedral , Austrian President Heinz Fischer praised Waldheim 's contribution to the development of Austria and the human beings , saying that as an Austrian diplomat , former foreign minister and president , he served his best for the country .",title
"MF Global	Man Financial	The Commodity Futures Trading Commission settled the charges with MF Global , formerly known as Man Financial .",alternate_names
He	Army	He was an Army veteran of the Korean War .,employee_of
"Central American Parliament	Dominican Republic	The victims were traveling Monday in a caravan with other members of El Salvador 's delegation to the Central American Parliament , a regional body composed of representatives elected in the member states of El Salvador , Guatemala , Honduras , Panama , Nicaragua and the Dominican Republic , Reyes said .",members
"American Beverage Association	Christopher Gindlesperger	Washington State imposed a 2-cents-per-12-ounce tax on carbonated beverages for three years , and Washington , D.C. and Colorado removed sugared beverages from the list of groceries that were exempt from sales taxes , Christopher Gindlesperger , a spokesman for the American Beverage Association , said the industry did not consider the sales tax , which touches an array of products , as bad as a per-ounce levy on soda .",top_members/employees
"He	Maryland	Baltimore Mayor Sheila Dixon called Mitchell `` a voice of conscience in Maryland , '' adding , `` He was a gentleman and a statesman .",stateorprovinces_of_residence
"FirstGroup	United Kingdom	On Monday , FirstGroup PLC , the largest surface-transportation company in the United Kingdom , took over Laidlaw to complete a $ 36 billion -LRB- euro2 54 billion -RRB- acquisition .",country_of_headquarters
"David Banda	Rocco	Madonna , Ritchie on London divorce docket Reports in the Evening Standard and the Times of London said the couple had also reached a deal regarding their two children : Rocco , 8 , and David Banda , 3 , who was adopted from Malawi in 2006 .",siblings
"Institute for Diversity and Ethics in Sport	Richard E. Lapchick	The sooner the better , said Richard E. Lapchick , director of the Institute for Diversity and Ethics in Sport at the University of Central Florida and director emeritus of the Center for the Study of Sport in Society .",top_members/employees
"American Bar Association	UIA	Earlier , Healy and others helped persuade U.S. bars , including the American Bar Association , to join the UIA , which was founded by the bars of France , Belgium and Luxembourg .",member_of
"he	Small Business Committee	Over his eight terms , in addition to heading the Small Business Committee , he was also Democratic whip at large , the senior member of the House Banking , Finance and Urban Affairs Committee , and chairman of its Subcommittee on Domestic Monetary Policy .",employee_of
"George Henry Sheldon	New Jersey	George Henry Sheldon was born in New Jersey , the last of six children .",stateorprovince_of_birth
"Alcatel-Lucent	Alcatel	Alcatel-Lucent , one of the world 's largest suppliers of telecommunications equipment , was formed from the November 2006 combination of Lucent Technologies , based in Murray Hill , NJ , and Alcatel , based in Paris .",parents
"ABA	1976	And while mile-high Afros have made furtive comebacks on the hard court in recent years -LRB- hope you enjoy Cleveland , Ben Wallace -RRB- , they 'll always be connected with the hothouse-flower gaudiness of an ABA that expired into partial merger with the National Basketball Association by 1976 .",dissolved
Lee Jye	Defense	A ruling Democratic Progressive Party legislator demanded Monday that Defense Minister Lee Jye `` give the country an explanation '' over allegations of the widespread existence of sexual harassment in the military .,employee_of
Bryan Baldwin	JetBlue Airways Corp	JetBlue Airways Corp spokesman Bryan Baldwin said he was `` not privy to conversations '' that the board members have had about Neeleman .,employee_of
"him	23-year-old	After a tumultuous and seemingly neverending romance with DJ Samantha Ronson , the 23-year-old one-time actress has reportedly hooked up with Gucci model Adam Senn -- and she introduced him to her family last Tuesday .",age
"Steve McPherson	president	`` Steve McPherson today submitted his resignation as president , ABC Entertainment Group , and the company accepted , '' ABC said in a statement late Tuesday .",title
"Dee Dee Myers	secretary	The president made the decision , along with myself yesterday , that Dee Dee Myers ought to be our press secretary under this restructured approach to the press secretary 's job .",title
"FEC	six members	Senate Rules Committee Chairman Dianne Feinstein , D-Calif , said this week that she has `` serious concerns '' about von Spakovsky 's tenure at the Justice Department during a hearing to confirm his position as one of six members of the FEC .",number_of_employees/members
Gonzales	Wisconsin	Republican Rep. James Sensenbrenner of Wisconsin asked Gonzales when the Justice Department planned to indict Democratic Rep. William Jefferson of Louisiana .,stateorprovinces_of_residence
"APA	APA Office	The APA Office has just received a letter from Senator Grassley of Iowa , requesting a complete accounting of APA revenues , except those from advertising in our journals , from pharmaceutical companies , starting in 2003 .",alternate_names
"Ahmad Qattan	ambassador	Egypt will be represented by State Minister for Legal and Parliamentary Affairs Mufid Shehab while oil powerhouse Saudi Arabia , a major supporter of the Lebanese government , is sending Arab League ambassador Ahmad Qattan .",title
John Negroponte	US	Deputy US Secretary of State John Negroponte says there was `` no hidden agenda '' with the timing of his visit to Pakistan as a new government is formed .,countries_of_residence
"Bill McAllister	Wasilla	She stayed at her home in Wasilla , located 40 miles to the north , but was expected in her office on Friday , spokesman Bill McAllister said .",cities_of_residence
He	Saturday	He passed away on Saturday .,date_of_death
Mahdi	Imam	I have noticed from your latest response that you have added some points to your original query on Imam Mahdi 's -LRB- a.s. -RRB- long life to which I have replied at length .,title
"Red Cross	Mile High Chapter of the Red Cross	COLORADO HIGHWAY CLOSING STRANDS 2,000 TRAVELERS The Red Cross set up nine shelters at recreation centers and schools on Sunday night , most of them in Summit County , said Christine Benero , chief executive of the Mile High Chapter of the Red Cross .",subsidiaries
"Mr Scheider	New York	In 1980 , Mr Scheider returned to his first love , the stage , where his performance in a production of Harold Pinter 's `` Betrayal '' opposite Blythe Danner and Raul Julia earned him the Drama League of New York award for distinguished performance .",stateorprovinces_of_residence
"ISU	China	Wang Xinyue , former all-around junior national champion of China , finished seventh in the women 's 1000-meter event in the ISU -LRB- International Skating Union -RRB- World Cup short track last November to ensure a ticket for Hong Kong , China to Vancouver Olympics .",members
"Mahmood Shah	analyst	Recent tensions with India and reported new military strategy coming from New Delhi `` have triggered a hot response from Pakistan , '' defence and security analyst Brigadier Mahmood Shah told AFP after witnessing the exercises .",title
John Negroponte	Deputy Secretary of State	The latest in a string of attacks on the military followed two days of deadly clashes in Pakistan 's lawless tribal zone and coincided with the visit of US Deputy Secretary of State John Negroponte .,title
"Mary Dent Crisp	March 24	Mary Dent Crisp , who was driven from the leadership of the Republican Party in 1980 after publicly assailing its opposition to abortion rights and the Equal Rights Amendment , died March 24 at her home in Phoenix .",date_of_death
"Hugo Chavez	Venezuelan	He 's stayed `` red '' through his two terms in office : Livingstone called Fidel Castro 's communist revolution `` one of the high points of the 20th century , '' and welcomed Venezuelan president Hugo Chavez to city hall .",employee_of
"Clarence Mitchell III	his	He also gained notoriety during the Wedtech scandal in the 1980s , initiating the congressional investigation that eventually ensnared his nephews , state Sens. Clarence Mitchell III and Michael Mitchell .",other_family
"Dee Dee Myers	White House	And publicly today the White House is taking the optimistic route , Press Secretary Dee Dee Myers predicting the Democrats will be able to hold onto control of Congress , and she 's predicting that they will have the traditional losses that the party in power usually has during these mid-term elections .",employee_of
"American Psychiatric Association	U.S.	Just this month , U.S. News and World Report confirmed that the American Psychiatric Association -LRB- APA -RRB- failed to fully disclose the substantial pharmaceutical ties of its task force members , charged with updating and expanding psychiatry s Diagnostic and Statistical Manual of Mental Disorders , comprised of subjective checklists of symptoms which are then used to categorize new mental disorders and bill insurance companies .",country_of_headquarters
"Sheldon	lawmaker	`` Everyone , no matter what side of this issue they 're on , believes there ought to be some finality to a decision , whether that 's a legislative decision or a judicial decision , '' said Sheldon , a former state lawmaker who voted against the ban on gay adoption and now heads the agency challenging Gill 's adoption .",title
National Action Network	Sharpton	Sharpton is president of the National Action Network .,top_members/employees
"Chris Dodd	Connecticut	Sen Chris Dodd of Connecticut , a close family friend , will also be on board .",stateorprovinces_of_residence
"she	DLA Piper	Until earlier this year , she worked on international trade issues for the Washington office of DLA Piper , one of the city 's biggest lobbying firms .",employee_of
"Cathie Black	Hearst Magazines	Cathie Black , president of Hearst Magazines , is the author of `` Basic Black : The Essential Guide for Getting Ahead At Work -LRB- and in Life -RRB- . ''",employee_of
"Palfrey	http://wwwdeborahjeanepalfreycom	http://wwwdeborahjeanepalfreycom `` The bimbo kept records -LRB- apparently -RRB- , '' Palfrey wrote , according to court records .",website
"Sandy	him	Five days later , the day after his 29th birthday , Sandy 's family removed him from a respirator and allowed him to die .",other_family
"he	district attorney	Morgenthau , the longest-serving district attorney in Manhattan , said he planned to continue to champion the causes he has taken up as a prosecutor -- often in cases that reach far beyond the office 's geographic jurisdiction .",title
"Mia Farrow	Actress	Actress Mia Farrow has arrived in Cambodia and plans to defy a ban on holding a ceremony at a former Khmer Rouge prison , as part of her campaign on Darfur , activists said Saturday .",title
"Simon Cowell	American	Realistically , does anyone wonder why Simon Cowell has a huge Coke cup in front of him on every `` American Idol '' ?",countries_of_residence
"Covidien	Yoon	Yoon has invested nearly 13 percent of the assets in Covidien , a maker of general surgery products , on the theory that whatever happens in the United States will be offset by greater spending overseas as developing countries race to build more infrastructure and create new hospitals .",shareholders
"Army medical command	Elspeth Ritchie	Col Elspeth Ritchie , a medical director in the Army medical command , said soldiers on morphine should not be sent to combat .",top_members/employees
"Irene Morgan Kirkaldy	90	August 13 , 2007 Irene Morgan Kirkaldy , 90 , Rights Pioneer , Dies By RICHARD GOLDSTEIN",age
"Herrera	Ramona	Herrera 's wife Ramona , died in 1991 .",spouse
Illinois Tool	US	Inc came back with a second offer to trump an approach by fellow US company Illinois Tool Works .,country_of_headquarters
Sean Preston	Christian Michael	-LSB- -RSB- Do any of y ' all remember that this same sort of thing happened last year when there were rumors that Sean Preston 's real name was Christian Michael ?,alternate_names
"Justice and Equality Movement	JEM	Sudan broke off diplomatic relations with Chad in May after Darfur rebels of the Justice and Equality Movement -LRB- JEM -RRB- launched an attack near the capital Sudanese capital , Khartoum .",alternate_names
"Eleanor Derounian	Emily Ann Kennard Derounian	Derounian is survived by his wife of 60 years , Emily Ann Kennard Derounian ; two daughters , Ann Banks of Lexington , Ky. , and Eleanor Derounian of Austin ; and a granddaughter .",parents
"she	Massachusetts Institute of Technology	In 1972 she returned to the U.S. with her daughter , Katarina -LRB- who survives her along with her mother and a sister -RRB- , and enrolled in a doctoral program in political science at the Massachusetts Institute of Technology .",schools_attended
Deaver	White House	When Deaver left the White House in 1985 he formed his own consulting firm .,employee_of
"Bill McAllister	spokesman	Palin , the former Republican vice presidential candidate , did not attend services Sunday because she was in Juneau preparing to propose a state budget , said her spokesman , Bill McAllister .",title
Ferrara	Juventus	Zaccheroni replaces Ferrara at Juventus,employee_of
"Sills	Muffy	In recent weeks , Sills had been concerned with the future care of Muffy , her daughter , who was born with severe hearing loss .",children
he	leader	But he would be a better leader if he had something he sorely lacks -- humility .,title
